ma/ma_var2,perf/var2,perf/var1,time-step
,0,298,0
,0,5,1
,2,310,2
,0,132,3
,0,556,4
,5,605,5
,6,618,6
,7,170,7
,8,76,8
3.7,9,925,9
3.7,0,688,10
3.7,0,715,11
3.5,0,709,12
4.8,13,295,13
6.2,14,502,14
5.7,0,268,15
6.7,16,53,16
7.7,17,317,17
6.9,0,282,18
7.9,19,698,19
7.9,0,278,20
10.0,21,935,21
10.0,0,536,22
8.7,0,819,23
7.3,0,980,24
7.3,0,516,25
8.3,26,44,26
6.6,0,584,27
6.6,0,113,28
4.7,0,57,29
7.7,30,971,30
8.7,31,918,31
8.7,0,690,32
8.7,0,973,33
8.7,0,917,34
12.2,35,834,35
13.2,36,988,36
16.9,37,496,37
16.9,0,776,38
16.9,0,338,39
17.9,40,635,40
18.9,41,596,41
23.1,42,342,42
23.1,0,994,43
23.1,0,605,44
19.6,0,819,45
20.6,46,499,46
21.6,47,900,47
21.6,0,591,48
21.6,0,84,49
17.6,0,770,50
13.5,0,256,51
9.3,0,26,52
9.3,0,41,53
9.3,0,679,54
9.3,0,823,55
4.7,0,449,56
0.0,0,964,57
0.0,0,244,58
0.0,0,647,59
0.0,0,552,60
0.0,0,677,61
6.2,62,112,62
12.5,63,442,63
12.5,0,712,64
12.5,0,266,65
12.5,0,228,66
12.5,0,352,67
12.5,0,863,68
12.5,0,195,69
12.5,0,689,70
12.5,0,990,71
6.3,0,57,72
7.3,73,630,73
7.3,0,272,74
14.8,75,367,75
22.4,76,226,76
30.1,77,404,77
30.1,0,584,78
30.1,0,811,79
30.1,0,474,80
38.2,81,449,81
46.4,82,483,82
39.1,0,447,83
47.5,84,943,84
48.5,85,520,85
49.5,86,770,86
41.8,0,992,87
41.8,0,575,88
41.8,0,5,89
41.8,0,981,90
42.8,91,85,91
43.8,92,870,92
43.8,0,111,93
35.4,0,671,94
36.4,95,422,95
37.4,96,714,96
37.4,0,242,97
47.2,98,520,98
57.1,99,946,99
57.1,0,112,100
58.1,101,884,101
48.9,0,38,102
59.2,103,92,103
59.2,0,576,104
49.7,0,627,105
40.1,0,199,106
50.8,107,559,107
41.0,0,535,108
42.0,109,995,109
53.0,110,649,110
42.9,0,1,111
42.9,0,330,112
43.9,113,392,113
55.3,114,610,114
66.8,115,175,115
66.8,0,638,116
67.8,117,472,117
67.8,0,254,118
68.8,119,383,119
69.8,120,465,120
81.9,121,648,121
94.1,122,862,122
82.8,0,665,123
83.8,124,920,124
72.3,0,460,125
72.3,0,675,126
73.3,127,55,127
86.1,128,698,128
74.2,0,250,129
62.2,0,349,130
50.1,0,629,131
51.1,132,528,132
64.4,133,140,133
52.0,0,36,134
65.5,135,8,135
79.1,136,809,136
66.4,0,145,137
53.6,0,431,138
67.5,139,160,139
81.5,140,25,140
95.6,141,839,141
82.4,0,89,142
69.1,0,341,143
83.5,144,878,144
70.0,0,7,145
71.0,146,317,146
71.0,0,672,147
85.8,148,633,148
86.8,149,173,149
72.8,0,779,150
73.8,151,280,151
89.0,152,415,152
89.0,0,823,153
74.6,0,237,154
90.1,155,836,155
75.5,0,210,156
75.5,0,721,157
76.5,158,708,158
61.6,0,997,159
61.6,0,569,160
46.5,0,375,161
47.5,162,458,162
63.8,163,313,163
63.8,0,147,164
48.3,0,7,165
64.9,166,162,166
81.6,167,154,167
65.8,0,103,168
82.7,169,430,169
99.7,170,955,170
99.7,0,994,171
100.7,172,643,172
84.4,0,910,173
84.4,0,600,174
101.9,175,367,175
102.9,176,941,176
86.2,0,131,177
104.0,178,732,178
87.1,0,58,179
88.1,180,280,180
106.2,181,578,181
107.2,182,81,182
125.5,183,142,183
125.5,0,62,184
108.0,0,906,185
90.4,0,717,186
90.4,0,73,187
72.6,0,135,188
91.5,189,160,189
73.5,0,105,190
74.5,191,144,191
75.5,192,859,192
76.5,193,975,193
95.9,194,836,194
115.4,195,866,195
115.4,0,750,196
115.4,0,575,197
135.2,198,574,198
136.2,199,398,199
136.2,0,984,200
117.1,0,942,201
118.1,202,535,202
119.1,203,702,203
99.7,0,618,204
100.7,205,89,205
100.7,0,504,206
121.4,207,275,207
101.6,0,709,208
102.6,209,363,209
102.6,0,838,210
102.6,0,132,211
82.4,0,30,212
62.1,0,747,213
62.1,0,455,214
41.6,0,210,215
63.2,216,733,216
64.2,217,74,217
64.2,0,795,218
43.3,0,791,219
65.3,220,816,220
65.3,0,332,221
65.3,0,946,222
65.3,0,773,223
87.7,224,821,224
87.7,0,880,225
88.7,226,531,226
67.0,0,279,227
67.0,0,208,228
67.0,0,62,229
45.0,0,810,230
45.0,0,717,231
68.2,232,400,232
68.2,0,654,233
69.2,234,987,234
69.2,0,332,235
70.2,236,676,236
70.2,0,143,237
70.2,0,339,238
70.2,0,902,239
70.2,0,234,240
70.2,0,776,241
71.2,242,294,242
95.5,243,302,243
72.1,0,754,244
72.1,0,119,245
48.5,0,755,246
73.2,247,48,247
73.2,0,402,248
98.1,249,950,249
98.1,0,822,250
98.1,0,189,251
73.9,0,61,252
49.6,0,325,253
75.0,254,49,254
75.0,0,216,255
100.6,256,726,256
101.6,257,30,257
101.6,0,335,258
102.6,259,224,259
102.6,0,935,260
128.7,261,905,261
128.7,0,642,262
128.7,0,544,263
129.7,264,572,264
129.7,0,63,265
104.1,0,717,266
105.1,267,423,267
131.9,268,608,268
106.0,0,546,269
133.0,270,46,270
134.0,271,887,271
161.2,272,405,272
161.2,0,30,273
162.2,274,633,274
189.7,275,248,275
217.3,276,687,276
190.6,0,117,277
