ma/ma_var2,perf/var2,perf/var1,time-step
,0,122,0
,0,297,1
,0,55,2
,3,813,3
,4,658,4
,5,235,5
,0,306,6
,0,377,7
,8,918,8
2.9,9,763,9
2.9,0,427,10
2.9,0,307,11
2.9,0,608,12
3.9,13,890,13
4.9,14,931,14
5.9,15,490,15
5.9,0,766,16
7.6,17,975,17
6.8,0,131,18
7.8,19,762,19
7.8,0,358,20
7.8,0,308,21
7.8,0,221,22
6.5,0,800,23
5.1,0,424,24
6.1,25,992,25
6.1,0,46,26
4.4,0,352,27
4.4,0,70,28
5.4,29,225,29
5.4,0,743,30
8.5,31,430,31
8.5,0,96,32
11.8,33,260,33
11.8,0,894,34
9.3,0,777,35
9.3,0,670,36
9.3,0,375,37
13.1,38,317,38
10.2,0,611,39
10.2,0,139,40
11.2,41,339,41
11.2,0,50,42
7.9,0,751,43
12.3,44,874,44
12.3,0,642,45
12.3,0,987,46
12.3,0,375,47
13.3,48,941,48
18.2,49,511,49
23.2,50,518,50
24.2,51,913,51
24.2,0,807,52
24.2,0,802,53
19.8,0,898,54
19.8,0,303,55
19.8,0,203,56
19.8,0,816,57
15.0,0,545,58
16.0,59,734,59
17.0,60,559,60
11.9,0,724,61
18.1,62,579,62
18.1,0,261,63
18.1,0,920,64
18.1,0,56,65
24.7,66,368,66
31.4,67,466,67
38.2,68,440,68
39.2,69,698,69
33.2,0,898,70
40.3,71,545,71
34.1,0,747,72
34.1,0,135,73
41.5,74,60,74
41.5,0,938,75
34.9,0,39,76
28.2,0,380,77
29.2,78,301,78
30.2,79,8,79
30.2,0,847,80
23.1,0,220,81
23.1,0,52,82
23.1,0,64,83
15.7,0,986,84
15.7,0,4,85
24.3,86,427,86
33.0,87,752,87
25.2,0,153,88
26.2,89,2,89
35.2,90,838,90
35.2,0,169,91
44.4,92,415,92
44.4,0,845,93
53.8,94,991,94
53.8,0,54,95
54.8,96,566,96
46.1,0,317,97
55.9,98,54,98
47.0,0,404,99
38.0,0,743,100
38.0,0,233,101
28.8,0,594,102
39.1,103,646,103
29.7,0,776,104
40.2,105,813,105
41.2,106,717,106
41.2,0,916,107
42.2,108,878,108
42.2,0,153,109
53.2,110,666,110
64.3,111,321,111
64.3,0,297,112
54.0,0,443,113
54.0,0,579,114
43.5,0,109,115
44.5,116,950,116
44.5,0,216,117
45.5,118,101,118
57.4,119,348,119
58.4,120,267,120
47.3,0,682,121
59.5,122,493,122
59.5,0,433,123
71.9,124,75,124
84.4,125,267,125
72.8,0,752,126
85.5,127,862,127
73.7,0,558,128
74.7,129,34,129
62.7,0,807,130
75.8,131,376,131
76.8,132,244,132
76.8,0,421,133
64.4,0,883,134
51.9,0,158,135
51.9,0,1,136
52.9,137,982,137
66.7,138,758,138
67.7,139,798,139
81.7,140,143,140
68.6,0,727,141
69.6,142,423,142
69.6,0,482,143
69.6,0,406,144
84.1,145,734,145
84.1,0,979,146
70.4,0,31,147
71.4,148,86,148
57.5,0,425,149
43.5,0,518,150
58.6,151,762,151
44.4,0,888,152
59.7,153,900,153
75.1,154,576,154
60.6,0,291,155
76.2,156,750,156
91.9,157,85,157
92.9,158,871,158
92.9,0,245,159
92.9,0,60,160
93.9,161,162,161
110.1,162,396,162
111.1,163,799,163
112.1,164,573,164
112.1,0,321,165
113.1,166,60,166
97.4,0,538,167
98.4,168,123,168
115.3,169,335,169
115.3,0,119,170
99.2,0,372,171
100.2,172,83,172
101.2,173,165,173
84.8,0,634,174
102.3,175,833,175
103.3,176,573,176
103.3,0,204,177
86.5,0,187,178
87.5,179,391,179
87.5,0,898,180
105.6,181,683,181
106.6,182,530,182
107.6,183,595,183
107.6,0,251,184
90.1,0,451,185
72.5,0,234,186
91.2,187,174,187
110.0,188,339,188
111.0,189,887,189
111.0,0,839,190
92.9,0,972,191
74.7,0,693,192
56.4,0,448,193
75.8,194,369,194
75.8,0,66,195
95.4,196,732,196
96.4,197,651,197
77.6,0,311,198
58.7,0,68,199
78.7,200,713,200
98.8,201,397,201
119.0,202,224,202
119.0,0,329,203
99.6,0,359,204
99.6,0,24,205
100.6,206,85,206
80.9,0,856,207
101.7,208,282,208
101.7,0,542,209
81.7,0,296,210
61.6,0,403,211
62.6,212,343,212
62.6,0,940,213
62.6,0,201,214
62.6,0,252,215
63.6,216,172,216
85.3,217,661,217
64.5,0,520,218
86.4,219,816,219
86.4,0,695,220
86.4,0,969,221
87.4,222,462,222
87.4,0,599,223
87.4,0,202,224
109.9,225,82,225
88.3,0,936,226
89.3,227,518,227
89.3,0,354,228
90.3,229,289,229
90.3,0,603,230
113.4,231,384,231
114.4,232,788,232
114.4,0,724,233
114.4,0,175,234
115.4,235,35,235
115.4,0,681,236
92.7,0,447,237
116.5,238,375,238
117.5,239,368,239
117.5,0,695,240
118.5,241,345,241
95.3,0,859,242
119.6,243,298,243
119.6,0,627,244
120.6,245,120,245
145.2,246,636,246
169.9,247,542,247
170.9,248,817,248
171.9,249,538,249
171.9,0,536,250
172.9,251,235,251
198.1,252,652,252
173.8,0,355,253
199.2,254,194,254
200.2,255,511,255
201.2,256,866,256
176.5,0,504,257
177.5,258,351,258
178.5,259,718,259
204.5,260,397,260
205.5,261,174,261
206.5,262,755,262
232.8,263,983,263
233.8,264,634,264
208.3,0,114,265
182.7,0,740,266
209.4,267,777,267
183.6,0,60,268
184.6,269,180,269
185.6,270,578,270
159.5,0,81,271
160.5,272,941,272
134.2,0,591,273
107.8,0,141,274
107.8,0,526,275
135.4,276,260,276
108.7,0,985,277
108.7,0,98,278
109.7,279,930,279
110.7,280,905,280
110.7,0,437,281
111.7,282,35,282
111.7,0,222,283
111.7,0,119,284
140.2,285,698,285
141.2,286,456,286
141.2,0,868,287
170.0,288,109,288
171.0,289,532,289
172.0,290,616,290
172.0,0,261,291
143.8,0,777,292
173.1,293,35,293
202.5,294,974,294
174.0,0,704,295
145.4,0,125,296
145.4,0,699,297
116.6,0,495,298
87.7,0,924,299
58.7,0,435,300
88.8,301,173,301
119.0,302,11,302
89.7,0,562,303
60.3,0,1,304
90.8,305,374,305
90.8,0,423,306
121.5,307,134,307
121.5,0,387,308
121.5,0,118,309
121.5,0,573,310
91.4,0,133,311
92.4,312,552,312
92.4,0,686,313
92.4,0,435,314
61.9,0,874,315
61.9,0,209,316
62.9,317,958,317
62.9,0,721,318
94.8,319,378,319
94.8,0,764,320
94.8,0,736,321
95.8,322,579,322
95.8,0,789,323
95.8,0,530,324
95.8,0,872,325
95.8,0,491,326
96.8,327,856,327
96.8,0,707,328
64.9,0,970,329
97.9,330,855,330
131.0,331,96,331
132.0,332,32,332
132.0,0,707,333
165.4,334,364,334
198.9,335,831,335
232.5,336,728,336
233.5,337,453,337
267.3,338,757,338
301.2,339,459,339
302.2,340,418,340
303.2,341,291,341
304.2,342,540,342
304.2,0,503,343
305.2,344,535,344
271.7,0,475,345
272.7,346,340,346
273.7,347,43,347
274.7,348,672,348
275.7,349,888,349
276.7,350,289,350
277.7,351,833,351
243.5,0,629,352
243.5,0,909,353
209.1,0,107,354
209.1,0,144,355
210.1,356,898,356
211.1,357,728,357
212.1,358,151,358
177.2,0,683,359
178.2,360,4,360
143.1,0,30,361
143.1,0,159,362
143.1,0,374,363
143.1,0,641,364
179.6,365,667,365
180.6,366,615,366
144.9,0,574,367
145.9,368,405,368
182.8,369,725,369
183.8,370,840,370
220.9,371,275,371
220.9,0,316,372
220.9,0,249,373
220.9,0,851,374
221.9,375,564,375
185.3,0,424,376
223.0,377,870,377
224.0,378,881,378
225.0,379,733,379
188.0,0,132,380
189.0,381,122,381
227.2,382,645,382
227.2,0,635,383
265.6,384,547,384
266.6,385,341,385
305.2,386,558,386
267.5,0,942,387
268.5,388,767,388
230.6,0,117,389
230.6,0,44,390
231.6,391,327,391
232.6,392,433,392
271.9,393,652,393
233.5,0,794,394
195.0,0,709,395
196.0,396,3,396
196.0,0,280,397
157.2,0,110,398
157.2,0,92,399
157.2,0,733,400
118.1,0,18,401
119.1,402,911,402
79.8,0,753,403
79.8,0,848,404
79.8,0,107,405
40.2,0,363,406
80.9,407,277,407
80.9,0,277,408
80.9,0,745,409
80.9,0,547,410
80.9,0,965,411
40.7,0,671,412
40.7,0,617,413
82.1,414,625,414
123.6,415,581,415
123.6,0,837,416
124.6,417,67,417
124.6,0,201,418
166.5,419,837,419
166.5,0,562,420
208.6,421,558,421
