perf/var1,perf/var2,time-step,ma/ma_var2
348,0,0,
607,0,1,
902,0,2,
799,3,3,
375,4,4,
215,5,5,
80,0,6,
422,0,7,
98,0,8,
967,0,9,1.2
973,10,10,2.2
695,0,11,2.2
415,0,12,2.2
759,13,13,3.2
112,14,14,4.2
592,15,15,5.2
729,0,16,5.2
580,0,17,5.2
693,18,18,7.0
64,19,19,8.9
315,20,20,9.9
676,21,21,12.0
254,22,22,14.2
515,23,23,15.2
291,0,24,13.8
651,25,25,14.8
352,0,26,14.8
430,0,27,14.8
963,28,28,15.8
836,0,29,13.9
99,0,30,11.9
153,31,31,12.9
309,0,32,10.7
742,33,33,11.7
227,34,34,15.1
176,0,35,12.6
850,0,36,12.6
111,37,37,16.3
186,38,38,17.3
297,39,39,21.2
389,0,40,21.2
221,41,41,22.2
522,42,42,26.4
181,43,43,27.4
845,44,44,28.4
432,45,45,32.9
209,46,46,37.5
250,47,47,38.5
968,0,48,34.7
755,49,49,35.7
519,0,50,35.7
341,0,51,31.6
879,52,52,32.6
876,0,53,28.3
469,0,54,23.9
63,55,55,24.9
267,0,56,20.3
98,0,57,15.6
552,58,58,21.4
114,59,59,22.4
499,0,60,22.4
182,0,61,22.4
690,0,62,17.2
928,0,63,17.2
574,64,64,23.6
672,65,65,24.6
541,66,66,31.2
109,0,67,31.2
400,0,68,25.4
520,0,69,19.5
552,70,70,26.5
142,0,71,26.5
654,0,72,26.5
634,73,73,33.8
170,74,74,34.8
564,0,75,28.3
993,76,76,29.3
714,77,77,37.0
643,78,78,44.8
957,0,79,44.8
243,0,80,37.8
330,81,81,45.9
400,0,82,45.9
481,0,83,38.6
496,84,84,39.6
107,0,85,39.6
849,86,86,40.6
594,87,87,41.6
765,88,88,42.6
960,0,89,42.6
54,0,90,42.6
86,0,91,34.5
200,0,92,34.5
936,93,93,43.8
580,0,94,35.4
15,95,95,44.9
679,96,96,45.9
884,0,97,37.2
118,0,98,28.4
397,99,99,38.3
42,100,100,48.3
616,101,101,58.4
640,0,102,58.4
998,0,103,49.1
305,104,104,59.5
79,105,105,60.5
786,0,106,50.9
347,107,107,61.6
620,0,108,61.6
606,109,109,62.6
794,110,110,63.6
218,111,111,64.6
998,0,112,64.6
275,0,113,64.6
665,114,114,65.6
751,115,115,66.6
887,116,116,78.2
484,0,117,67.5
246,0,118,67.5
753,0,119,56.6
191,0,120,45.6
393,0,121,34.5
814,122,122,46.7
109,0,123,46.7
199,124,124,47.7
430,0,125,36.2
848,0,126,24.6
552,0,127,24.6
596,128,128,37.4
265,0,129,37.4
634,130,130,50.4
919,0,131,50.4
821,132,132,51.4
487,0,133,51.4
647,0,134,39.0
666,0,135,39.0
141,0,136,39.0
631,0,137,39.0
